"server"	"class"	"device"	"property"	"value"
				
"AlbaPLC/BL11_VALVES"	"PLCValve"	"FE11/VC/pnv-01"	"PLCAttributes"	"FE_TRU_F11_01_VL"
			"_Location"	
			"PLC"	"BL11/CT/EPS-PLC-01"
			"DeviceType"	"PNV"
			"PLCName"	"BL11/CT/EPS-PLC-01"
"AlbaPLC/BL11_VALVES"	"PLCValve"	"BL11/OH/pnv-01"	"PLCAttributes"	"VC_PNV_OH01_01"
			"_Location"	
			"PLC"	"BL11/CT/EPS-PLC-01"
			"DeviceType"	"PNV"
			"PLCName"	"BL11/CT/EPS-PLC-01"
"AlbaPLC/BL11_VALVES"	"PLCValve"	"BL11/OH/pnv-02"	"PLCAttributes"	"VC_PNV_OH01_02"
			"_Location"	
			"PLC"	"BL11/CT/EPS-PLC-01"
			"DeviceType"	"PNV"
			"PLCName"	"BL11/CT/EPS-PLC-01"
"AlbaPLC/BL11_VALVES"	"PLCValve"	"BL11/OH/pnv-03"	"PLCAttributes"	"VC_PNV_OH01_03"
			"_Location"	
			"PLC"	"BL11/CT/EPS-PLC-01"
			"DeviceType"	"PNV"
			"PLCName"	"BL11/CT/EPS-PLC-01"
"AlbaPLC/BL11_VALVES"	"PLCValve"	"BL11/OH/pnv-04"	"PLCAttributes"	"VC_PNV_OH01_04"
			"_Location"	
			"PLC"	"BL11/CT/EPS-PLC-01"
			"DeviceType"	"PNV"
			"PLCName"	"BL11/CT/EPS-PLC-01"
"AlbaPLC/BL11_VALVES"	"PLCValve"	"BL11/EH/pnv-01"	"PLCAttributes"	"VC_PNV_EH01_01"
			"_Location"	
			"PLC"	"BL11/CT/EPS-PLC-01"
			"DeviceType"	"PNV"
			"PLCName"	"BL11/CT/EPS-PLC-01"
				
"AlbaPLC/BL11_VALVES"	"PLCValve"	"BL11/VC/FCV-01"	"PLCAttributes"	"BL11_VC_FCS_RKA11A03"
			"_Location"	
			"PLC"	"BL11/CT/EPS-PLC-01"
			"DeviceType"	"PNV"
			"PLCName"	"BL11/CT/EPS-PLC-01"
